být	12795
a	12418
v	10182
se	7213
na	5708
ten	3262
s	3081
z	2930
který	2866
i	2764
k	2435
tento	2375
o	2338
že	2282
pro	2046
mít	1884
jeho	1866
on	1825
do	1803
jako	1299
rok	1274
nebo	1221
za	1180
při	1176
moci	1145
svůj	1135
práce	1060
ale	990
všechno	965
můj	926
u	902
tak	835
já	800
aby	790
po	785
od	781
jen	751
doba	716
velký	715
člověk	689
jenž	660
také	646
jeden	626
nový	617
však	615
jak	609
další	604
co	575
podle	564
úkol	553
jiný	544
muset	537
pracovník	520
mezi	507
některý	474
pracovní	471
když	467
již	460
proto	459
každý	458
li	455
už	452
celý	442
různý	442
až	438
než	435
oblast	424
základní	418
stát	412
dva	411
jít	406
ještě	404
vztah	400
výroba	400
kde	399
společenský	396
tedy	394
socialistický	393
výsledek	392
strana	390
pak	381
činnost	377
den	376
malý	370
organizace	370
velmi	366
první	364
více	359
závod	358
lze	352
jednotlivý	350
vysoký	348
třeba	347
národní	345
dobrý	342
možný	342
druhý	340
před	340
jazyk	338
místo	337
podmínka	334
společnost	327
takový	327
především	324
určitý	324
ani	318
rozvoj	317
dítě	316
část	314
případ	312
podnik	311
hodnota	308
život	307
voda	305
otázka	301
teorie	296
proces	295
zejména	295
slovo	292
řada	292
funkce	289
země	287
věda	285
způsob	285
český	284
bez	282
problém	278
hlavní	273
síla	268
základ	268
vývoj	265
samý	264
materiál	260
výrobní	258
protože	257
plán	256
potřeba	254
dnes	253
sovětský	252
či	252
současný	250
Praha	248
vlastní	248
druh	247
nutný	247
chtít	245
kdy	243
málo	243
proti	242
dále	241
vědecký	240
zde	240
počet	239
mladý	238
dobře	237
forma	237
hledisko	237
starý	232
zájem	230
často	230
škola	230
možnost	229
několik	228
to	226
výrobek	225
právě	224
skupina	223
město	222
nejen	222
prostředek	222
typ	221
pod	219
člen	219
svět	218
systém	218
vedoucí	215
dát	214
ostatní	214
elektron	211
skutečnost	211
význam	211
pouze	210
zařízení	210
směr	209
stav	209
výbor	208
politický	207
jaký	206
období	206
změna	206
jazykový	204
uvedený	204
důležitý	203
oba	201
výzkum	199
řešení	198
elektrický	197
